combat,time,round,actor,action,target,damage,actor_PV,target_PV
13,2025-11-06T09:28:13.327,2,Jed,skill,Hussin,35,72,46
13,2025-11-06T09:28:13.328,2,Hussin,attack,Jed,39,46,33
13,2025-11-06T09:28:13.328,3,Jed,attack,Hussin,17,33,29
13,2025-11-06T09:28:13.329,3,Hussin,attack,Jed,25,29,8
13,2025-11-06T09:28:13.33,4,Jed,attack,Hussin,13,8,16
13,2025-11-06T09:28:13.33,4,Hussin,attack,Jed,8,16,0
14,2025-11-06T09:28:13.331,1,Jed,skill,Hussin,37,100,83
14,2025-11-06T09:28:13.331,1,Hussin,skill,Jed,68,83,32
14,2025-11-06T09:28:13.332,2,Jed,skill,Hussin,34,32,49
14,2025-11-06T09:28:13.332,2,Hussin,attack,Jed,28,49,4
14,2025-11-06T09:28:13.332,3,Jed,attack,Hussin,13,4,36
14,2025-11-06T09:28:13.333,3,Hussin,skill,Jed,4,36,0
15,2025-11-06T09:28:13.336,1,Jed,skill,Hussin,34,100,86
15,2025-11-06T09:28:13.337,1,Hussin,attack,Jed,27,86,73
15,2025-11-06T09:28:13.34,2,Jed,skill,Hussin,32,73,54
15,2025-11-06T09:28:13.341,2,Hussin,attack,Jed,26,54,47
15,2025-11-06T09:28:13.342,3,Jed,attack,Hussin,18,47,36
15,2025-11-06T09:28:13.343,3,Hussin,attack,Jed,33,36,14
15,2025-11-06T09:28:13.343,4,Jed,attack,Hussin,23,14,13
15,2025-11-06T09:28:13.344,4,Hussin,skill,Jed,14,13,0
16,2025-11-06T09:28:13.344,1,Jed,skill,Hussin,73,100,47
16,2025-11-06T09:28:13.345,1,Hussin,attack,Jed,24,47,76
16,2025-11-06T09:28:13.345,2,Jed,skill,Hussin,35,76,12
16,2025-11-06T09:28:13.346,2,Hussin,attack,Jed,25,12,51
16,2025-11-06T09:28:13.346,3,Jed,attack,Hussin,12,51,0
17,2025-11-06T09:28:13.347,1,Jed,skill,Hussin,86,100,34
17,2025-11-06T09:28:13.347,1,Hussin,attack,Jed,39,34,61
17,2025-11-06T09:28:13.348,2,Jed,skill,Hussin,34,61,0
18,2025-11-06T09:28:13.348,1,Jed,skill,Hussin,36,100,84
18,2025-11-06T09:28:13.349,1,Hussin,attack,Jed,38,84,62
18,2025-11-06T09:28:13.349,2,Jed,skill,Hussin,36,62,48
18,2025-11-06T09:28:13.35,2,Hussin,skill,Jed,38,48,24
18,2025-11-06T09:28:13.351,3,Jed,attack,Hussin,32,24,16
18,2025-11-06T09:28:13.351,3,Hussin,attack,Jed,24,16,0
19,2025-11-06T09:28:13.352,1,Jed,skill,Hussin,37,100,83
19,2025-11-06T09:28:13.352,1,Hussin,attack,Jed,28,83,72
19,2025-11-06T09:28:13.353,2,Jed,skill,Hussin,81,72,2
19,2025-11-06T09:28:13.354,2,Hussin,attack,Jed,29,2,43
19,2025-11-06T09:28:13.354,3,Jed,attack,Hussin,2,43,0
